contract,CommercialUse,Distribution,Modification,PatentGrant,PrivateUse,DisclosureSource,Notice,SaaSIsDistribution,SameLicense,StateChanges,PatentNonGrant,Liability,Trademark,Warranty,NoRedistribution
LGPL-3.0-only,Included,Included,Included,Included,Included,Included,Included,Excluded,Included,Included,Excluded,Included,Excluded,Included,Excluded
LGPL-3.0-or-later,Included,Included,Included,Included,Included,Included,Included,Excluded,Included,Included,Excluded,Included,Excluded,Included,Excluded
MIT,Included,Included,Included,Excluded,Included,Excluded,Included,Excluded,Excluded,Excluded,Excluded,Included,Excluded,Included,Excluded
MPL-2.0,Included,Included,Included,Included,Included,Included,Included,Excluded,Included,Excluded,Excluded,Included,Included,Included,Excluded
OFL-1.1,Included,Included,Included,Excluded,Included,Excluded,Included,Excluded,Included,Excluded,Excluded,Included,Excluded,Included,Excluded
Owner,Included,Included,Included,Included,Included,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Included
PostgreSQL,Included,Included,Included,Excluded,Included,Excluded,Included,Excluded,Excluded,Excluded,Excluded,Included,Excluded,Included,Excluded
PublicDomain,Included,Included,Included,Excluded,Included,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
WTFPL,Included,Included,Included,Excluded,Included,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
Zlib,Included,Included,Included,Excluded,Included,Excluded,Included,Excluded,Excluded,Included,Excluded,Included,Excluded,Included,Excluded
